"Pathway","IFN_Responsive_Microglia_UP","Infiltrating_Macrophages_UP","Transiently_Activated_Microglia_UP","Homeostatic_Microglia_UP","Homeostatic_Microglia_DOWN","Transiently_Activated_Microglia_DOWN","Infiltrating_Macrophages_DOWN","Cluster"
"positive regulation of inflammatory response [GO_BP]",3.4084170869331,1.3470575669816,1.89004102050954,1.89026003395446,0,0,0,7
"regulation of myeloid leukocyte mediated immunity [GO_BP]",3.29761110134215,1.34013735666989,1.48006985775415,1.5110364541613,0,0,0,7
"positive regulation of phagocytosis [GO_BP]",2.41906307932522,0,1.44587721951252,0,0,0,0,7
"protein homooligomerization [GO_BP]",1.40619256373492,0,1.77983062278465,0,0,0,0,7
"regulation of peptidyl-tyrosine phosphorylation [GO_BP]",1.33643890396119,0,1.43217180846666,0,0,0,0,7
"chemotaxis [GO_BP]",1.3610481431578,0,1.60750956583228,0,0,0,0,7
"taxis [GO_BP]",1.3610481431578,0,1.60750956583228,0,0,0,0,7
"protein complex oligomerization [GO_BP]",1.47433713849559,0,2.17713627341487,0,0,0,0,7
"cell chemotaxis [GO_BP]",1.6219496692204,0,1.94010043784273,0,0,0,0,7
"positive regulation of peptidyl-tyrosine phosphorylation [GO_BP]",1.73419051838499,0,1.72889087162852,0,0,0,0,7
"myeloid cell differentiation [GO_BP]",4.40294198539476,0,1.49016520563225,0,0,0,1.46484803798383,7
"regulation of endocytosis [GO_BP]",2.46920702359576,0,1.85854465584611,0,0,0,1.96615072624667,7
"positive regulation of endocytosis [GO_BP]",2.56937865635193,0,1.68342410485621,0,0,0,1.7343431515632,7
"protein tetramerization [GO_BP]",0,1.32335167540303,1.47128278765591,0,0,0,0,7
"protein maturation [GO_BP]",0,0,1.3996079227659,0,0,0,0,7
"activation of cysteine-type endopeptidase activity involved in apoptotic process [GO_BP]",0,0,1.45041504634419,0,0,0,0,7
"membrane depolarization [GO_BP]",0,0,1.44587721951252,0,0,0,0,7
"regulation of cysteine-type endopeptidase activity involved in apoptotic process [GO_BP]",0,0,1.60158852415284,0,0,0,0,7
"regulation of chemotaxis [GO_BP]",0,0,1.52720940349083,0,0,0,0,7
"regulation of cysteine-type endopeptidase activity [GO_BP]",0,0,1.48698880288462,0,0,0,0,7
"protein refolding [GO_BP]",0,0,2.11367253914053,0,0,0,0,7
"negative regulation of locomotion [GO_BP]",0,0,1.79860012381458,0,0,0,0,7
"'de novo' post-translational protein folding [GO_BP]",0,0,1.8481360254879,0,0,0,0,7
"'de novo' protein folding [GO_BP]",0,0,1.83260273692872,0,0,0,0,7
"regulation of leukocyte chemotaxis [GO_BP]",0,0,1.98034213575324,0,0,0,0,7
"negative regulation of cell migration [GO_BP]",0,0,1.92507630466298,0,0,0,0,7
"chaperone cofactor-dependent protein refolding [GO_BP]",0,0,1.91625373569478,0,0,0,0,7
"negative regulation of cell motility [GO_BP]",0,0,1.89004102050954,0,0,0,0,7
"positive regulation of chemotaxis [GO_BP]",0,0,1.86420645238016,0,0,0,0,7
"chaperone-mediated protein folding [GO_BP]",0,0,2.39236876793722,1.56904449313524,0,0,0,7
